longitudine,latitudine
7.6783094,45.073685
9.1813536,45.46088
8.2081757,44.362419
10.416285,44.985733
8.9232407,44.414173
7.5787039,45.817924
7.8689804,44.985622
7.3310184,44.887047
8.8436642,44.615116
8.8023252,45.828972
9.9721842,44.114952
8.6177616,44.918449
7.7654095,43.992893
10.3732,45.752506
8.4130507,45.915371
8.247942,45.815887
7.767735,45.081112
8.0452013,45.564308
8.883728,45.544712
7.6795902,45.045906
8.2957687,44.8158
9.6754665,45.704136
7.7740154,44.289474
9.0464125,45.557919
7.0313492,44.964626
8.9293041,44.412186
9.2760763,45.583771
8.0681372,44.76675
9.0061235,44.989922
9.0327024,45.625011
7.395093,44.562538
7.8267131,45.009785
7.8549218,44.698586
9.5858374,45.652378
9.3118343,45.09325
7.691678,45.068573
8.275732,45.094223
9.18923,45.467037
9.1263475,45.010201
7.2408166,44.898624
7.8334546,44.54464
9.8201876,44.105736
9.39466,44.269741
10.35298,46.012066
8.0798283,45.281994
8.8287601,45.825504
7.6045423,44.995327
8.9012213,45.713089
8.2608089,44.190308
8.2130194,44.049576
10.376467,45.418102
8.4578924,44.990284
9.6909132,45.362049
7.35917,45.60701
8.4830112,44.306595
9.0730104,45.83746
9.8571463,45.286427
8.2497797,45.701431
7.6705103,45.112457
8.9329643,44.408485
10.192058,45.870701
7.547461,44.391373
7.2967763,44.315342
10.60448,45.650013
8.0371971,44.700726
8.0191517,43.879677
8.8705912,45.610954
10.92857,45.041931
7.7982793,45.011005
9.5727329,45.392704
7.1781306,45.673889
7.8960676,44.03088
7.8140922,45.016548
7.6861444,45.072903
7.2971578,44.315712
9.8205462,44.101486
7.7009616,44.842087
7.2698612,44.865643
10.221763,45.576519
8.6991844,44.762844
8.4343357,44.344864
8.3698158,44.660721
7.8048859,45.023643
10.220369,45.541424
8.7786961,44.763977
7.3430972,45.097912
8.0241022,45.482662
9.2680464,45.923973
9.4995613,45.708546
9.1894894,45.463581
10.41251,45.221439
7.4280438,44.424881
7.6855206,45.054195
7.1398439,45.708755
10.368103,45.130142
8.8124161,45.843277
7.7085547,44.846245
9.215785,45.815563
7.5603752,45.749294
7.6925631,45.080784
7.2970481,45.735321
10.219549,45.542263
9.0947771,45.802814
8.7911644,45.889473
8.8896599,45.88974
7.2729659,45.807415
9.5019894,45.306919
7.3556705,45.609917
7.3122039,45.73494
7.3580899,44.467621
7.8540444,43.866688
9.4893236,45.181347
8.9346638,44.407719
7.6795511,45.074203
8.5026274,44.332306
9.1189766,44.556519
10.276193,45.950821
8.3172741,44.807064
9.2625637,44.869827
7.3007226,44.827694
8.9317932,44.411297
7.7732487,44.949604
8.9301233,45.589935
7.2325101,45.432568
8.5899954,46.092529
9.9283152,45.238857
7.6844611,45.048706
8.8191786,44.425934
7.3667226,44.626522
8.7359734,45.689335
10.438787,45.584614
7.5540915,43.783897
7.3369875,44.886337
10.07938,45.819794
9.4334736,46.331841
7.6640592,45.04406
9.455368,44.36953
10.378992,45.149578
7.6906762,45.064182
10.422977,46.458973
7.7663927,43.992531
8.1128931,45.546177
10.384253,45.416866
10.241295,46.166027
8.387126,44.994606
8.9349346,44.405556
10.213851,45.539219
7.7607613,44.423279
9.0448294,44.382587
9.1822767,45.470425
10.794019,45.15337
7.6797767,45.049713
10.226339,45.534428
9.3237429,44.315895
10.487116,45.390659
9.0265369,45.571388
7.9161177,44.047543
8.4826603,44.307426
7.7205663,44.846878
9.1616268,45.45155
8.9272509,44.414333
9.617732,45.74641
7.327714,44.886536
8.1205444,45.034374
7.1732845,44.307037
7.9930911,45.387955
8.2008381,44.899712
7.6740503,43.867016
9.2286806,45.473701
7.6724381,43.780758
7.5342417,43.78381
8.6892595,45.57188
8.8460617,45.617737
8.0509186,45.564751
8.204793,44.900745
8.0592537,44.630051
7.9027467,43.887817
9.6560698,45.706223
8.8152027,44.428391
9.7236834,44.236835
8.4404211,45.820248
9.3615847,45.82196
10.786592,45.147518
7.6596475,45.068718
9.1942339,45.473911
7.9903221,45.96056
7.9757342,44.678432
10.569577,45.62405
10.024546,45.133724
9.1822262,44.430672
9.2685108,45.591309
7.1590304,45.73217
10.242044,45.750782
8.8313885,45.949902
10.108217,45.614967
8.4503784,45.737419
9.9032307,45.810791
9.1887522,45.472015
9.0760746,45.812382
7.3332701,44.887383
9.8742304,46.170918
8.9096804,45.124981
8.8514957,44.426037
8.1987009,44.898987
7.051764,44.919159
9.7842941,45.187443
7.3745732,44.338001
7.6922679,45.068512
9.203248,45.674778
8.0380344,43.893242
7.5048475,45.303123
7.4729166,45.280495
8.7688131,44.457111
9.8951187,46.281109
8.4396667,44.27449
8.0844975,44.069935
7.8228598,45.272587
7.0000591,44.449818
8.2875557,46.105751
7.7818098,45.222401
9.2778168,44.43462
8.4869204,44.309006
7.3498902,44.93409
8.2298136,44.707821
7.8675656,45.035458
9.09583,45.340652
8.8252907,45.815823
8.4832821,44.305592
7.7757316,43.817627
