longitudine,latitudine
10.974541,44.634903
8.8652716,44.897087
9.5343962,45.977421
7.6774111,44.324646
9.2993679,44.374298
8.5446358,44.66626
7.1283331,44.50288
9.2138968,44.332741
7.8267131,45.009785
10.174014,45.067791
9.9473963,45.890297
9.2498007,44.526215
7.6861444,45.072903
7.5473914,44.389973
7.914989,44.046558
10.786592,45.147518
8.2132111,44.04948
7.9305644,43.884315
9.156455,44.347515
8.5320396,45.8881
7.6724381,43.780758
8.5029573,44.327744
7.3602109,45.608784
9.0279827,44.501518
7.4280438,44.424881
9.2680464,45.923973
7.8291464,44.390545
6.9357667,45.009933
8.2081757,44.362419
10.184792,45.687756
7.1824622,45.128792
9.1813536,45.46088
10.296671,45.933014
7.7982793,45.011005
9.3118343,45.09325
10.269255,46.294498
9.5019894,45.306919
10.35298,46.012066
9.5727329,45.392704
9.1457186,45.475525
7.187254,45.690548
7.7927737,43.821289
8.8460617,45.617737
8.3365335,45.683697
7.6247296,45.135113
7.4389138,45.249641
9.3711748,45.818027
8.8252907,45.815823
7.7757316,43.817627
7.6797767,45.049713
7.8569884,44.65284
8.0191517,43.879677
8.5514956,45.922943
9.4936085,45.306145
10.492315,45.389332
7.9037218,45.496819
7.9761901,45.573547
7.8084612,45.613766
9.6560698,45.706223
9.0381393,45.627777
9.6764212,45.703682
7.3310184,44.887047
6.8835354,45.072292
7.9507022,45.329353
8.0258512,43.884312
9.0428743,45.415157
10.029168,45.134491
7.6804624,45.072193
10.794362,45.157387
8.0844975,44.069935
8.247942,45.815887
8.4720125,44.673779
8.1051102,45.613384
8.6319399,45.724022
10.563772,45.371754
7.36304,44.467098
9.1188984,45.679497
8.4535313,45.137188
8.6177616,44.918449
10.228072,45.540005
9.8202257,44.108421
7.6857123,45.073444
9.8201876,44.105736
8.9416542,44.412472
8.7786961,44.763977
8.9220552,44.415573
10.790361,45.152813
7.6843009,45.06842
9.831789,45.869724
8.6475573,44.637093
8.4817142,44.310921
9.4060822,46.321293
9.2001219,45.472622
8.6751299,45.880058
8.9371605,45.604366
7.7354393,45.68499
7.3299122,44.886612
10.291904,45.934143
10.242044,45.750782
9.1946716,45.469849
7.6801543,45.074661
7.4882426,44.64323
7.6855717,45.654499
10.722661,45.738323
7.7691936,45.604023
7.8876457,45.468227
8.6825867,46.021339
8.0345201,44.73843
8.9007292,44.458252
7.3885307,44.654678
7.7233706,44.549374
7.6887126,45.067921
10.3732,45.752506
9.1559858,45.186661
7.3170929,45.737789
8.9301233,45.589935
8.0134468,43.879696
9.0448294,44.382587
7.0153613,45.188931
7.2325101,45.432568
7.6787915,45.06987
10.192058,45.870701
7.6642842,45.089523
9.2142534,45.981823
7.622942,45.876942
9.7842941,45.187443
7.0557966,45.033417
9.6603231,45.70713
7.6783094,45.073685
7.1890974,44.909142
8.2140932,44.047962
7.6640592,45.04406
8.8424759,44.617207
9.2455883,45.975525
9.1785221,45.496258
8.0385389,43.90443
8.9063339,45.737118
8.9035521,45.822186
9.1372328,45.2075
7.6795511,45.074203
7.3097034,44.874252
17.131718,39.369175
10.416285,44.985733
6.711432,45.070988
9.4432316,46.328472
8.7383614,45.997612
10.266933,45.7183
9.3237429,44.315895
7.8058171,44.076736
8.379611,44.594917
8.8436642,44.615116
8.4823017,44.30827
9.4036093,45.806446
8.822011,45.902447
9.6591997,45.706169
7.3843441,44.779671
9.09583,45.340652
8.9392824,44.407787
8.5314903,46.130268
9.3242149,45.916706
8.4292269,45.786102
9.8076153,45.769196
9.0061235,44.989922
7.9440699,44.611519
7.6639242,44.640957
10.414874,44.989719
9.1131001,46.092159
9.6017618,45.284222
7.6750832,45.077301
8.5696459,46.085239
10.349373,46.0746
6.9725952,45.791901
10.58186,45.757629
7.7869673,44.976208
7.0709705,44.589176
7.6740503,43.867016
9.730341,45.733501
7.4828963,44.614426
10.269448,45.942932
7.6678457,43.78233
9.1586924,45.190487
7.4595575,45.417183
9.1896944,45.471977
7.487905,45.737991
8.618187,44.403339
10.108217,45.614967
9.0265369,45.571388
7.1781306,45.673889
7.702055,45.054398
9.3239546,45.356728
8.7923603,45.86047
9.8187027,45.871769
7.8430524,45.631035
9.5878878,46.151939
8.2516069,45.816402
7.8334546,44.54464
10.462893,45.824841
9.4079742,45.23912
8.2497797,45.701431
8.8023252,45.828972
