longitudine,latitudine
7.7297354,43.812542
9.1887522,45.472015
7.0470686,44.887306
8.2875557,46.105751
10.428983,45.364773
8.9377375,44.405239
7.6705103,45.112457
7.9576359,45.508656
10.3732,45.752506
8.8840017,45.795925
8.8587971,45.319183
9.3976183,45.859455
8.7093639,44.503296
7.8216925,45.01289
10.376467,45.418102
8.4663944,46.135128
8.4269285,45.325588
7.8295894,45.77132
8.1962738,44.899223
8.9247723,44.418633
7.6967878,45.668831
8.4101458,45.816948
9.7454004,44.277519
7.8228598,45.272587
9.1311951,44.53928
7.2525268,45.712769
8.9457359,45.558987
9.345047,44.309765
8.2113838,44.050179
9.0752306,45.814259
9.0861807,45.808666
7.5515046,44.327663
7.2447801,44.924683
7.937933,45.860817
9.6626873,45.703209
8.6334915,45.667187
7.767735,45.081112
8.379611,44.594917
9.1916714,45.468189
7.1781306,45.673889
9.2437496,44.377209
7.3430972,45.097912
7.9121733,44.482044
9.8201876,44.105736
7.0557966,45.033417
9.4618874,45.801456
10.343178,45.494373
8.2008381,44.899712
8.8705912,45.610954
7.6760321,44.908089
8.9304895,44.410744
8.3420858,44.336174
8.2893505,46.113232
10.390081,45.412437
8.5104065,45.861855
9.8076153,45.769196
7.5515704,44.328007
8.5619678,44.689766
9.1457186,45.475525
9.8951187,46.281109
8.0681372,44.76675
7.6932321,45.066334
8.9696045,44.405838
10.220094,45.945087
7.6649914,45.07996
7.3602109,45.608784
10.60448,45.650013
8.1558905,45.890442
8.0934582,44.033642
8.9220552,44.415573
10.92857,45.041931
7.8689804,44.985622
9.6560698,45.706223
7.3299122,44.886612
7.9757342,44.678432
7.914444,45.634445
7.7594852,45.059757
7.395093,44.562538
9.8672104,45.748482
7.7818098,45.222401
7.35917,45.60701
10.226339,45.534428
8.6991844,44.762844
8.4918566,44.478436
8.4484997,45.960625
7.8048859,45.023643
10.22554,45.538147
6.9725952,45.791901
8.8474789,44.442635
7.530436,44.736225
8.1587305,45.893856
9.3308849,44.840294
9.5878878,46.151939
7.0070171,44.579479
9.1962318,45.468555
10.447233,46.247318
8.0134468,43.879696
7.7274942,45.330521
7.1590304,45.73217
10.389991,45.412575
